"Campaign ID",Channel,"Advertisement Type",CPM,CTR,CPC,CPA,"Conversion Rate","Revenue Uplift",Impressions,"Project Type",Clicks,"Lead Generation",Comments,date_part,time_part,Revenue,ROAS,"Ad Spend"
00015,"Search Engine",Banner,9.6,0.0324,0.22,49.78,0.0258,17.81,85588,Telecom,2773,943,"High ROAS indicates effective spend.",2023-01-01,04:54:21,140800.74,230.80,610.06
00016,"Social Media",Banner,8.73,0.0106,0.92,26.71,0.0117,2.4,52954,Telecom,561,182,"High ROAS indicates effective spend.",2023-01-01,05:15:22,15134.15,29.32,516.12
00017,"Search Engine",Text,5.09,0.0303,1.8,48.84,0.0187,1.89,40678,Retail,1232,282,"Needs review due to rising CPC.",2023-01-01,05:36:23,60772.59,27.40,2217.60
00018,"Search Engine",Text,7.34,0.0074,1.31,27.16,0.0135,17.02,30026,Telecom,222,70,"Excellent conversion and ROI.",2023-01-01,05:57:25,6511.88,22.39,290.82
00019,"Search Engine",Text,6.43,0.0248,0.73,13.47,0.0205,16.09,44450,Telecom,1102,569,"High impressions but low conversion.",2023-01-01,06:18:26,15734.58,19.56,804.46
00020,"Search Engine",Banner,10.73,0.0353,1.02,34.23,0.0118,-4.99,24624,Retail,869,311,"Needs review due to rising CPC.",2023-01-01,06:39:28,29150.95,32.89,886.38
00021,"Social Media",Video,13.07,0.0111,1.26,28.01,0.0223,1.59,38853,Retail,431,254,"High ROAS indicates effective spend.",2023-01-01,07:00:29,12072.31,22.23,543.06
00022,"Social Media",Text,11.71,0.0124,0.56,6.25,0.027,3.78,58036,Retail,719,316,"Needs review due to rising CPC.",2023-01-01,07:21:31,4538.69,11.27,402.64
00023,"Search Engine",Text,1.06,0.0393,1.53,40.02,0.013,6.1,18342,Retail,720,402,"Retail campaigns underperforming slightly.",2023-01-01,07:42:32,37746.86,34.27,1101.60
00024,"Search Engine",Text,2.39,0.0172,1.36,45.96,0.0126,3.61,11368,Telecom,195,52,"High ROAS indicates effective spend.",2023-01-01,08:03:34,10127.29,38.19,265.20
00025,"Social Media",Banner,7.01,0.0434,1.34,49.45,0.0091,11.11,62784,Retail,2724,1072,"Good lead generation but low conversion rate.",2023-01-01,08:24:35,138742.85,38.01,3650.16
00026,"Social Media",Video,12.93,0.0326,1.55,35.11,0.0112,-3,62263,Telecom,2029,799,"Excellent conversion and ROI.",2023-01-01,08:45:37,71238.19,22.65,3144.95
00027,"Social Media",Video,4.32,0.0296,1.5,23.73,0.0293,19.72,9077,Retail,268,142,"Low engagement suggests creative changes needed.",2023-01-01,09:06:38,9539.46,23.73,402.00
00028,Affiliate,Video,13.31,0.0228,1.1,30.15,0.0157,-0.85,61000,Telecom,1390,569,"High impressions but low conversion.",2023-01-01,09:27:40,41908.50,27.41,1529.00
00029,Affiliate,Text,2.54,0.0482,1.74,44.77,0.0245,7.15,6977,Retail,336,165,"Strong click-through but weak CPA.",2023-01-01,09:48:41,21059.81,36.02,584.64
00030,Affiliate,Text,2.02,0.0331,1.04,8.22,0.0216,12.23,45170,Telecom,1495,762,"Retail campaigns underperforming slightly.",2023-01-01,10:09:42,13886.46,8.93,1554.80
00031,"Search Engine",Video,13.79,0.0085,0.73,42.67,0.0284,-4.01,58599,Telecom,498,189,"Great performance in Telecom sector.",2023-01-01,10:30:44,21249.66,58.45,363.54
00032,Affiliate,Banner,3.27,0.0234,0.64,27.52,0.0271,3.49,21015,Telecom,491,260,"Low engagement suggests creative changes needed.",2023-01-01,10:51:45,14187.94,45.15,314.24
00033,"Search Engine",Video,7.49,0.0105,0.33,38.12,0.0167,11.43,38408,Telecom,403,158,"Strong click-through but weak CPA.",2023-01-01,11:12:47,15976.85,120.14,132.99
00034,"Search Engine",Text,5.56,0.0381,1.51,27.43,0.0113,11.14,60006,Telecom,2286,912,"High ROAS indicates effective spend.",2023-01-01,11:33:48,64586.13,18.71,3451.86
00035,Affiliate,Video,3.07,0.0162,0.16,25.33,0.0241,10.35,33308,Retail,539,169,"Great performance in Telecom sector.",2023-01-01,11:54:50,15018.16,174.14,86.24
00036,"Search Engine",Video,9.85,0.0057,1.63,47.89,0.0129,14.53,24313,Retail,138,34,"Moderate CTR with significant revenue uplift.",2023-01-01,12:15:51,7005.35,31.14,224.94
00037,Affiliate,Video,14.49,0.0497,1.72,39.09,0.0249,9.03,71200,Retail,3538,1992,"Moderate CTR with significant revenue uplift.",2023-01-01,12:36:53,139683.42,22.95,6085.36
00038,Affiliate,Banner,10.21,0.0262,1.29,35.38,0.014,8.84,12672,Retail,332,86,"Retail campaigns underperforming slightly.",2023-01-01,12:57:54,12568.39,29.35,428.28
00039,"Social Media",Text,5.95,0.0066,0.58,44.35,0.0199,-0.57,80820,Retail,533,262,"Moderate CTR with significant revenue uplift.",2023-01-01,13:18:56,23638.55,76.47,309.14
00040,Affiliate,Text,10.97,0.0255,0.48,14.78,0.0124,19.51,78306,Telecom,1996,935,"Great performance in Telecom sector.",2023-01-01,13:39:57,30090.90,31.41,958.08
00041,"Social Media",Video,3.01,0.0173,0.24,20.71,0.0103,10.35,11297,Telecom,195,83,"Great performance in Telecom sector.",2023-01-01,14:00:59,5249.99,112.18,46.80
00042,Affiliate,Text,9.12,0.0377,1.81,22.14,0.0098,11.05,53399,Retail,2013,492,"Excellent conversion and ROI.",2023-01-01,14:22:00,45459.18,12.48,3643.53
00043,Affiliate,Banner,7.57,0.0053,1.05,31.43,0.0065,10.8,16743,Telecom,88,17,"Low engagement suggests creative changes needed.",2023-01-01,14:43:02,3014.77,32.63,92.40
00044,"Social Media",Video,6.04,0.0112,0.82,48.57,0.0134,1.86,14631,Retail,163,70,"High impressions but low conversion.",2023-01-01,15:04:03,8075.25,60.42,133.66
00045,"Social Media",Banner,11.35,0.0209,1.98,23.36,0.0205,10.16,70920,Telecom,1482,681,"Good lead generation but low conversion rate.",2023-01-01,15:25:04,34965.72,11.92,2934.36
00046,Affiliate,Video,2.66,0.0229,0.25,37.37,0.0108,1.39,91048,Telecom,2084,835,"Needs review due to rising CPC.",2023-01-01,15:46:06,78657.87,150.97,521.00
00047,"Search Engine",Video,8.46,0.027,1.59,13.55,0.0103,-2.76,54450,Telecom,1470,818,"Moderate CTR with significant revenue uplift.",2023-01-01,16:07:07,19719.32,8.44,2337.30
00048,"Social Media",Video,12.96,0.0209,1.74,20.36,0.0171,17.9,48540,Telecom,1014,560,"Retail campaigns underperforming slightly.",2023-01-01,16:28:09,21264.39,12.05,1764.36
00049,"Search Engine",Banner,3.82,0.0229,1.62,44.62,0.0193,10.73,68501,Retail,1568,491,"Moderate CTR with significant revenue uplift.",2023-01-01,16:49:10,72762.73,28.64,2540.16
00050,"Search Engine",Text,4.7,0.0268,1.75,35.61,0.0068,16.23,83482,Telecom,2237,832,"Needs review due to rising CPC.",2023-01-01,17:10:12,82845.95,21.16,3914.75
00051,"Search Engine",Text,10.25,0.047,0.68,39.69,0.0228,12.56,73827,Retail,3469,746,"Low engagement suggests creative changes needed.",2023-01-01,17:31:13,140438.30,59.53,2358.92
00052,"Social Media",Text,11.82,0.0287,1.91,35.81,0.0059,2.17,25801,Telecom,740,189,"Excellent conversion and ROI.",2023-01-01,17:52:15,26764.39,18.94,1413.40
00053,"Search Engine",Text,4.97,0.0244,1.77,31.82,0.0077,16.76,89381,Telecom,2180,502,"Great performance in Telecom sector.",2023-01-01,18:13:16,72142.30,18.70,3858.60
00054,"Social Media",Banner,6.04,0.0072,1.34,22.78,0.005,15.14,27176,Telecom,195,60,"Excellent conversion and ROI.",2023-01-01,18:34:18,4841.89,18.53,261.30
00055,"Search Engine",Text,11.36,0.0117,1.83,24.93,0.0066,14.64,23006,Retail,269,158,"High ROAS indicates effective spend.",2023-01-01,18:55:19,7108.54,14.44,492.27
00056,Affiliate,Text,4.99,0.0391,1.68,25.96,0.0108,14.45,47568,Retail,1859,698,"Moderate CTR with significant revenue uplift.",2023-01-01,19:16:21,51155.22,16.38,3123.12
00057,Affiliate,Video,10.33,0.0481,1.65,40.6,0.0144,19.91,81739,Retail,3931,1201,"High impressions but low conversion.",2023-01-01,19:37:22,162790.57,25.10,6486.15
00058,"Social Media",Banner,3.22,0.0223,0.27,34.66,0.0204,7.52,11137,Retail,248,75,"High ROAS indicates effective spend.",2023-01-01,19:58:24,10400.77,155.33,66.96
00059,Affiliate,Video,6.76,0.0483,1.1,6.51,0.0294,9.14,60971,Retail,2944,1453,"Low engagement suggests creative changes needed.",2023-01-01,20:19:25,19548.75,6.04,3238.40
00060,Affiliate,Text,10.64,0.0198,0.75,42.58,0.0182,16.84,71694,Retail,1419,721,"Moderate CTR with significant revenue uplift.",2023-01-01,20:40:26,61629.44,57.91,1064.25
00061,"Search Engine",Video,7.44,0.0478,0.45,7.64,0.0252,6.97,70508,Telecom,3370,1307,"High ROAS indicates effective spend.",2023-01-01,21:01:28,26004.27,17.15,1516.50
00062,"Social Media",Text,1.27,0.0324,1.28,23.53,0.0171,11.66,41169,Telecom,1333,316,"Moderate CTR with significant revenue uplift.",2023-01-01,21:22:29,38265.90,22.43,1706.24
00063,"Search Engine",Video,6.69,0.0063,1.35,17.61,0.0247,14.26,25541,Retail,160,40,"Retail campaigns underperforming slightly.",2023-01-01,21:43:31,3043.01,14.09,216.00
00064,"Search Engine",Banner,5.04,0.0085,0.73,50,0.0221,3.26,74644,Telecom,634,253,"Low engagement suggests creative changes needed.",2023-01-01,22:04:32,32017.00,69.18,462.82
00065,"Search Engine",Video,2.42,0.0491,1.22,41.46,0.0197,-0.7,76431,Telecom,3752,1878,"Good lead generation but low conversion rate.",2023-01-01,22:25:34,155557.92,33.98,4577.44
00066,"Search Engine",Video,1.13,0.0187,1.64,49.14,0.016,14.49,33248,Telecom,621,225,"Great performance in Telecom sector.",2023-01-01,22:46:35,42417.16,41.65,1018.44
00067,"Search Engine",Video,1.64,0.0056,1.45,47.9,0.0272,-2.55,94051,Retail,526,183,"Strong click-through but weak CPA.",2023-01-01,23:07:37,24691.49,32.37,762.70
00068,"Search Engine",Video,14.29,0.0085,0.66,16.42,0.009,-0.71,43923,Telecom,373,218,"Great performance in Telecom sector.",2023-01-01,23:28:38,6124.66,24.88,246.18
00069,"Search Engine",Text,11.5,0.0288,2,15.22,0.019,11.69,81413,Telecom,2344,635,"Great performance in Telecom sector.",2023-01-01,23:49:40,36032.44,7.69,4688.00
00070,"Social Media",Video,14.16,0.0153,1.76,27.37,0.0275,0.38,28439,Retail,435,187,"High ROAS indicates effective spend.",2023-01-02,00:10:41,11905.95,15.55,765.60
00071,Affiliate,Banner,2.61,0.0389,1.55,10.94,0.0081,-1.62,11696,Telecom,454,253,"Low engagement suggests creative changes needed.",2023-01-02,00:31:43,4718.42,6.71,703.70
00072,"Search Engine",Video,8.99,0.0448,1.97,34.17,0.0137,14.97,6241,Retail,279,162,"Moderate CTR with significant revenue uplift.",2023-01-02,00:52:44,12107.46,22.03,549.63
00073,"Search Engine",Banner,2.17,0.0213,1.69,26.05,0.009,14.73,69617,Retail,1482,478,"Excellent conversion and ROI.",2023-01-02,01:13:45,42466.71,16.96,2504.58
00074,"Search Engine",Video,1.38,0.0363,1.56,47.92,0.0168,9.7,71761,Retail,2604,961,"Strong click-through but weak CPA.",2023-01-02,01:34:47,137262.05,33.79,4062.24
00075,"Search Engine",Text,7.53,0.0376,1.71,34.16,0.0224,12.05,89025,Retail,3347,1982,"Needs review due to rising CPC.",2023-01-02,01:55:48,116620.19,20.38,5723.37
00076,"Search Engine",Banner,10.05,0.0263,0.29,40.92,0.0052,7.28,5191,Retail,136,51,"High ROAS indicates effective spend.",2023-01-02,02:16:50,6344.24,160.86,39.44
00077,"Search Engine",Banner,1.89,0.0167,1.2,10.48,0.019,4.23,65580,Telecom,1095,656,"Strong click-through but weak CPA.",2023-01-02,02:37:51,11819.87,9.00,1314.00
00078,Affiliate,Video,6.11,0.0391,0.69,32.47,0.0261,19.97,72078,Telecom,2818,1148,"Good lead generation but low conversion rate.",2023-01-02,02:58:53,96075.48,49.41,1944.42
00079,Affiliate,Text,2.26,0.0073,1.02,40.88,0.0158,13.5,58387,Retail,426,192,"Retail campaigns underperforming slightly.",2023-01-02,03:19:54,19156.37,44.09,434.52
00080,"Search Engine",Text,6.07,0.0087,1.76,6.74,0.011,4.32,91969,Retail,800,195,"Low engagement suggests creative changes needed.",2023-01-02,03:40:56,5445.92,3.87,1408.00
00081,Affiliate,Banner,7.61,0.0103,0.71,11.06,0.0178,10.86,33452,Telecom,344,131,"Needs review due to rising CPC.",2023-01-02,04:01:57,3956.83,16.20,244.24
00082,"Social Media",Video,5.73,0.0193,0.28,40.2,0.0214,15.06,58701,Telecom,1132,665,"High ROAS indicates effective spend.",2023-01-02,04:22:59,47326.66,149.31,316.96
00083,"Search Engine",Text,9.07,0.0184,0.21,7.7,0.0286,19.79,49941,Retail,918,496,"Great performance in Telecom sector.",2023-01-02,04:44:00,7351.34,38.13,192.78
00084,"Social Media",Text,9.18,0.0193,0.7,13,0.028,18.27,63878,Telecom,1232,312,"High impressions but low conversion.",2023-01-02,05:05:02,16496.48,19.13,862.40
00085,"Social Media",Text,5.66,0.0094,0.58,26.29,0.0106,14.97,90976,Telecom,855,447,"High ROAS indicates effective spend.",2023-01-02,05:26:03,23152.29,46.69,495.90
00086,"Search Engine",Video,6.45,0.0239,0.13,13.7,0.0086,9.91,43992,Telecom,1051,264,"High impressions but low conversion.",2023-01-02,05:47:05,14830.66,108.55,136.63
00087,Affiliate,Video,7.17,0.0268,0.75,34.82,0.0289,12.11,30408,Telecom,814,352,"Great performance in Telecom sector.",2023-01-02,06:08:06,30044.09,49.21,610.50
00088,"Social Media",Banner,6.26,0.0447,1.21,14.21,0.0176,15.67,54928,Retail,2455,777,"Retail campaigns underperforming slightly.",2023-01-02,06:29:07,36629.83,12.33,2970.55
00089,"Search Engine",Video,11.65,0.0468,0.96,48.51,0.0054,13.16,80928,Telecom,3787,1070,"Low engagement suggests creative changes needed.",2023-01-02,06:50:09,185544.44,51.04,3635.52
00090,"Social Media",Text,2.96,0.02,0.16,5.5,0.008,16.99,94245,Telecom,1884,1061,"Moderate CTR with significant revenue uplift.",2023-01-02,07:11:10,10983.72,36.44,301.44
00091,"Social Media",Banner,13,0.0483,0.4,18.5,0.0269,6.18,25216,Telecom,1217,376,"High ROAS indicates effective spend.",2023-01-02,07:32:12,22964.79,47.18,486.80
00092,"Social Media",Video,5.64,0.0264,0.83,20.4,0.025,13.49,18886,Telecom,498,286,"Excellent conversion and ROI.",2023-01-02,07:53:13,11479.90,27.77,413.34
00093,"Social Media",Text,11.14,0.0428,1.65,23,0.0083,-1.96,43248,Retail,1851,906,"Great performance in Telecom sector.",2023-01-02,08:14:15,42573.00,13.94,3054.15
00094,Affiliate,Text,13.37,0.0053,1.11,28.48,0.0125,12.02,75274,Retail,398,232,"High ROAS indicates effective spend.",2023-01-02,08:35:16,11448.39,25.91,441.78
00095,"Social Media",Banner,13.42,0.0087,1.18,27.35,0.0206,17.75,92487,Telecom,804,481,"Good lead generation but low conversion rate.",2023-01-02,08:56:18,22209.29,23.41,948.72
00096,"Social Media",Banner,7.33,0.0241,1,15.51,0.0203,10.57,18769,Telecom,452,114,"Retail campaigns underperforming slightly.",2023-01-02,09:17:19,7571.36,16.75,452.00
00097,"Social Media",Video,4.59,0.0228,1.77,34.41,0.0228,12.32,56054,Telecom,1278,380,"Good lead generation but low conversion rate.",2023-01-02,09:38:21,46174.78,20.41,2262.06
00098,Affiliate,Video,9.48,0.0258,1.57,19.29,0.0052,5.82,24271,Retail,626,318,"Strong click-through but weak CPA.",2023-01-02,09:59:22,12437.81,12.66,982.82
00099,"Social Media",Banner,3.58,0.0169,1.52,40.93,0.0281,0.11,88285,Telecom,1492,764,"Low engagement suggests creative changes needed.",2023-01-02,10:20:24,61067.56,26.93,2267.84
00100,"Social Media",Banner,12.07,0.0309,1.95,22.7,0.0064,19.07,47999,Telecom,1483,848,"Strong click-through but weak CPA.",2023-01-02,10:41:25,34674.02,11.99,2891.85
00101,Affiliate,Text,10.96,0.0383,0.14,11.39,0.02,9.97,96198,Retail,3684,2035,"High ROAS indicates effective spend.",2023-01-02,11:02:27,42380.37,82.17,515.76
00102,Affiliate,Video,12.14,0.0111,1.19,45.04,0.0063,19.29,20557,Retail,228,48,"Needs review due to rising CPC.",2023-01-02,11:23:28,11090.65,40.88,271.32
00103,Affiliate,Text,7.07,0.0296,0.47,14.07,0.0138,13.37,71354,Retail,2112,955,"Needs review due to rising CPC.",2023-01-02,11:44:29,30607.32,30.83,992.64
00104,"Social Media",Banner,8.8,0.0157,1.99,14.47,0.0126,19.43,65544,Telecom,1029,436,"Low engagement suggests creative changes needed.",2023-01-02,12:05:31,15336.32,7.49,2047.71
00105,Affiliate,Banner,2.44,0.0449,0.61,37.58,0.0241,7.72,72812,Retail,3269,1023,"Excellent conversion and ROI.",2023-01-02,12:26:32,127762.98,64.07,1994.09
00106,Affiliate,Banner,10.63,0.0459,0.32,6.94,0.024,-1.55,77459,Telecom,3555,861,"Retail campaigns underperforming slightly.",2023-01-02,12:47:34,24671.70,21.69,1137.60
00107,"Social Media",Video,7.82,0.037,0.17,29.3,0.0202,13.62,64840,Telecom,2399,1051,"Excellent conversion and ROI.",2023-01-02,13:08:35,72399.42,177.52,407.83
00108,Affiliate,Banner,8.13,0.0125,1.33,25.93,0.0186,13.36,99740,Telecom,1246,722,"Retail campaigns underperforming slightly.",2023-01-02,13:29:37,32954.96,19.89,1657.18
00109,"Social Media",Banner,12.86,0.0478,0.14,14.34,0.0157,10.88,1308,Retail,62,21,"Great performance in Telecom sector.",2023-01-02,13:50:38,1466.98,169.01,8.68
00110,"Search Engine",Video,11.81,0.0383,0.17,32.48,0.0157,2.04,12784,Retail,489,272,"High ROAS indicates effective spend.",2023-01-02,14:11:40,16041.55,192.97,83.13
00111,Affiliate,Banner,8.49,0.0096,0.62,16.58,0.0245,7.89,7128,Telecom,68,17,"Strong click-through but weak CPA.",2023-01-02,14:32:41,1274.01,30.22,42.16
00112,"Search Engine",Video,5.97,0.0311,1.47,19.84,0.0269,13.08,83138,Telecom,2585,1123,"Needs review due to rising CPC.",2023-01-02,14:53:43,52824.99,13.90,3799.95
00113,"Social Media",Banner,7.25,0.0328,1.32,6.06,0.0189,0.37,53237,Retail,1746,769,"Good lead generation but low conversion rate.",2023-01-02,15:14:44,10580.76,4.59,2304.72
00114,Affiliate,Video,5.91,0.0316,0.73,22.44,0.0226,6.95,68670,Retail,2169,792,"Moderate CTR with significant revenue uplift.",2023-01-02,15:35:46,49645.81,31.35,1583.37
00115,"Social Media",Video,3.12,0.0291,0.59,17.96,0.0084,3.7,61376,Telecom,1786,1003,"High impressions but low conversion.",2023-01-02,15:56:47,32718.09,31.05,1053.74
00116,"Search Engine",Video,10.04,0.0081,1.77,39.4,0.0282,-3.02,25229,Telecom,204,110,"Moderate CTR with significant revenue uplift.",2023-01-02,16:17:49,7957.22,22.04,361.08
00117,"Social Media",Video,10.68,0.0138,0.92,11.68,0.0267,-1.6,42969,Retail,592,298,"Strong click-through but weak CPA.",2023-01-02,16:38:50,6914.56,12.70,544.64
00118,Affiliate,Text,14.6,0.047,0.41,38.11,0.0132,-2.09,86647,Retail,4072,1655,"Strong click-through but weak CPA.",2023-01-02,16:59:51,155183.92,92.95,1669.52
00119,Affiliate,Video,7.38,0.0397,0.71,43.99,0.0254,15.2,40357,Telecom,1602,770,"Retail campaigns underperforming slightly.",2023-01-02,17:20:53,73995.58,65.06,1137.42
00120,"Search Engine",Video,14.96,0.0305,0.75,19.73,0.0294,3.38,29042,Telecom,885,218,"Excellent conversion and ROI.",2023-01-02,17:41:54,17635.66,26.57,663.75
00121,"Social Media",Video,3.62,0.0313,1.1,14.32,0.0066,19.77,14767,Retail,462,242,"Moderate CTR with significant revenue uplift.",2023-01-02,18:02:56,9063.70,17.83,508.20
00122,Affiliate,Video,10.19,0.0184,1.3,26.75,0.0176,3.23,62761,Retail,1154,433,"Retail campaigns underperforming slightly.",2023-01-02,18:23:57,31178.20,20.78,1500.20
00123,"Search Engine",Banner,14.93,0.0195,1.06,12.21,0.0051,7.28,92679,Telecom,1807,482,"Retail campaigns underperforming slightly.",2023-01-02,18:44:59,22284.10,11.63,1915.42
00124,Affiliate,Banner,9.96,0.0108,0.38,25.18,0.0245,16.42,17551,Telecom,189,43,"Excellent conversion and ROI.",2023-01-02,19:06:00,5187.33,72.23,71.82
00125,Affiliate,Video,7.33,0.0468,1.44,37.47,0.0177,-1.66,39784,Telecom,1861,968,"Good lead generation but low conversion rate.",2023-01-02,19:27:02,69034.35,25.76,2679.84
00126,"Social Media",Video,8.21,0.0345,0.23,30.69,0.0267,10.35,83254,Retail,2872,1059,"Needs review due to rising CPC.",2023-01-02,19:48:03,89904.51,136.10,660.56
00127,Affiliate,Text,12.84,0.0171,1.16,10.66,0.0275,7.31,14264,Telecom,243,60,"Low engagement suggests creative changes needed.",2023-01-02,20:09:05,2694.00,9.56,281.88
00128,"Social Media",Video,14.15,0.0371,0.88,47.43,0.0269,0.44,90865,Telecom,3371,1026,"Needs review due to rising CPC.",2023-01-02,20:30:06,159886.53,53.90,2966.48
00129,Affiliate,Video,7.35,0.0434,0.47,26.75,0.0088,-3.78,77878,Retail,3379,955,"High impressions but low conversion.",2023-01-02,20:51:08,89484.37,56.35,1588.13
00130,"Search Engine",Video,11.81,0.0365,1.48,44.38,0.0269,0.1,91045,Retail,3323,1936,"Moderate CTR with significant revenue uplift.",2023-01-02,21:12:09,147474.74,29.99,4918.04
00131,Affiliate,Banner,14.07,0.0175,0.8,13,0.009,-1.77,91402,Retail,1599,890,"Needs review due to rising CPC.",2023-01-02,21:33:10,20787.00,16.25,1279.20
00132,"Social Media",Video,4.95,0.0148,1.03,24.99,0.0087,8.78,87414,Telecom,1293,769,"Low engagement suggests creative changes needed.",2023-01-02,21:54:12,32958.31,24.75,1331.79
00133,"Social Media",Video,7.9,0.0098,1.43,47.9,0.0277,18.67,22579,Telecom,221,64,"Great performance in Telecom sector.",2023-01-02,22:15:13,11644.49,36.85,316.03
00134,"Search Engine",Text,14.94,0.0231,1.68,26.18,0.0252,-0.66,49153,Retail,1135,614,"Moderate CTR with significant revenue uplift.",2023-01-02,22:36:15,29714.30,15.58,1906.80
00135,Affiliate,Banner,5.95,0.0467,0.42,42.54,0.0271,18.45,57731,Retail,2696,1059,"Low engagement suggests creative changes needed.",2023-01-02,22:57:16,120422.23,106.35,1132.32
00136,Affiliate,Text,9.68,0.014,0.85,41.11,0.0285,3.91,56772,Retail,794,471,"Retail campaigns underperforming slightly.",2023-01-02,23:18:18,32967.75,48.85,674.90
00137,"Search Engine",Video,10.2,0.0266,0.25,39.03,0.0171,-1.39,26504,Telecom,705,301,"Strong click-through but weak CPA.",2023-01-02,23:39:19,27240.99,154.56,176.25
00138,Affiliate,Text,3.16,0.0054,0.22,37.22,0.0194,14.43,55367,Retail,298,61,"Good lead generation but low conversion rate.",2023-01-03,00:00:21,11978.88,182.72,65.56
00139,Affiliate,Video,12.29,0.043,1.12,12.18,0.0297,11.6,23392,Retail,1005,292,"High impressions but low conversion.",2023-01-03,00:21:22,12730.54,11.31,1125.60
00140,"Social Media",Video,6.78,0.033,1.23,46.6,0.0276,18.87,70828,Telecom,2337,984,"Low engagement suggests creative changes needed.",2023-01-03,00:42:24,113260.37,39.40,2874.51
00141,Affiliate,Banner,8,0.0194,0.41,47.19,0.0204,4.01,48455,Telecom,940,480,"Needs review due to rising CPC.",2023-01-03,01:03:25,44802.19,116.25,385.40
00142,Affiliate,Text,10,0.0108,0.39,43.2,0.0066,6.91,71467,Retail,771,394,"Strong click-through but weak CPA.",2023-01-03,01:24:27,33640.27,111.88,300.69
00143,"Search Engine",Video,6.75,0.0334,1.35,9.03,0.0223,10.89,4301,Retail,143,66,"Needs review due to rising CPC.",2023-01-03,01:45:28,1781.98,9.23,193.05
00144,"Search Engine",Text,5.55,0.0291,1.69,17.04,0.0286,17.66,31244,Telecom,909,205,"Moderate CTR with significant revenue uplift.",2023-01-03,02:06:30,17038.30,11.09,1536.21
00145,"Social Media",Banner,8.65,0.0493,1.98,17.71,0.0252,14.1,69598,Retail,3431,1141,"Low engagement suggests creative changes needed.",2023-01-03,02:27:31,61978.27,9.12,6793.38
00146,Affiliate,Video,5.85,0.0261,0.64,6.73,0.0225,18.3,97516,Retail,2545,1209,"Needs review due to rising CPC.",2023-01-03,02:48:32,17641.69,10.83,1628.80
00147,Affiliate,Banner,7.08,0.0121,1.84,10.82,0.0065,0.01,42866,Retail,518,127,"Excellent conversion and ROI.",2023-01-03,03:09:34,5604.76,5.88,953.12
00148,Affiliate,Text,2.52,0.0431,1.49,44.25,0.021,6.96,74715,Telecom,3220,1400,"High ROAS indicates effective spend.",2023-01-03,03:30:35,148184.40,30.89,4797.80
